                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1595,                 2.6471,                 1.4626,                0.55487,                0.77279,                0.80479,                0.54327,                  1.142,                 3.9204,                 1.3738,              0.0033275,              0.0033275,              0.0033275
                      1,                0.96086,                 1.4961,                 1.2588,                0.77876,                0.77888,                0.82916,                0.52695,                 1.1203,                 4.8543,                 1.4431,              0.0066169,              0.0066169,              0.0066169
                      2,                 1.0348,                 1.5232,                 1.2965,                0.72904,                0.66132,                0.74384,                0.41909,                 1.2365,                 5.0239,                 1.7401,              0.0098623,              0.0098623,              0.0098623
                      3,                 1.0801,                 1.5831,                 1.3391,                0.84205,                0.71341,                0.82802,                0.54164,                 1.1196,                 5.7238,                 1.6296,               0.009802,               0.009802,               0.009802
                      4,                 1.0361,                 1.4543,                 1.3074,                0.78274,                0.77908,                0.83313,                0.49574,                 1.0707,                 5.7178,                  1.613,               0.009802,               0.009802,               0.009802
                      5,                 1.0208,                 1.3569,                 1.2961,                0.81677,                 0.7969,                0.84985,                0.54251,                 1.1041,                 6.5269,                 1.6584,               0.009736,               0.009736,               0.009736
                      6,                0.98892,                 1.2517,                 1.2623,                0.84777,                0.78391,                0.87829,                0.56147,                 1.1072,                 6.4546,                 1.5814,                0.00967,                0.00967,                0.00967
                      7,                0.96822,                 1.1798,                 1.2525,                0.84677,                0.80107,                0.85758,                0.58383,                 1.0386,                 6.2418,                 1.4616,               0.009604,               0.009604,               0.009604
                      8,                0.94636,                 1.1323,                 1.2346,                0.83583,                0.82715,                0.86406,                0.59755,                 1.0082,                 7.1675,                 1.4124,               0.009538,               0.009538,               0.009538
                      9,                0.91638,                 1.0581,                 1.2109,                0.90816,                0.77583,                0.86792,                0.58978,                 1.0312,                 6.2251,                 1.5518,               0.009472,               0.009472,               0.009472
                     10,                0.90886,                 1.0372,                 1.2081,                0.87932,                0.81815,                0.88183,                0.60463,                 1.0223,                  7.636,                 1.4126,               0.009406,               0.009406,               0.009406
                     11,                0.89065,                0.98431,                 1.1943,                0.88764,                0.81044,                0.88208,                0.62833,                0.94458,                 7.1196,                 1.3207,                0.00934,                0.00934,                0.00934
                     12,                0.87689,                0.94869,                 1.1821,                0.90142,                0.85162,                0.89297,                0.66702,                0.94738,                 8.0325,                 1.3295,               0.009274,               0.009274,               0.009274
                     13,                0.85989,                0.92286,                 1.1744,                0.86786,                0.82738,                0.87664,                0.63693,                  1.003,                 7.1248,                 1.3553,               0.009208,               0.009208,               0.009208
                     14,                0.84749,                 0.8923,                 1.1687,                0.87919,                0.82979,                0.88894,                0.63844,                   1.11,                 6.9456,                 1.5261,               0.009142,               0.009142,               0.009142
                     15,                0.84056,                0.88377,                 1.1605,                0.92098,                0.83375,                0.90032,                0.70113,                0.87646,                 7.0648,                   1.22,               0.009076,               0.009076,               0.009076
                     16,                0.82538,                0.84183,                 1.1546,                  0.861,                0.84222,                0.89015,                0.66116,                0.90911,                 6.8559,                 1.2775,                0.00901,                0.00901,                0.00901
                     17,                0.82121,                0.84955,                 1.1525,                0.94207,                0.85437,                0.90707,                0.70385,                 1.0823,                 7.9935,                 1.5113,               0.008944,               0.008944,               0.008944
                     18,                0.80466,                0.81857,                 1.1408,                0.91605,                0.84809,                0.87631,                0.65478,                0.89728,                 7.3236,                 1.2549,               0.008878,               0.008878,               0.008878
                     19,                0.79218,                0.79487,                 1.1316,                0.92404,                0.84949,                0.89571,                0.70803,                0.84317,                 6.8504,                   1.19,               0.008812,               0.008812,               0.008812
                     20,                0.78633,                0.78955,                 1.1291,                0.95095,                0.85966,                0.89714,                0.68839,                0.89711,                  7.845,                 1.2171,               0.008746,               0.008746,               0.008746
                     21,                0.77925,                0.76276,                 1.1238,                0.93266,                0.82895,                0.89372,                0.71668,                 1.0692,                  8.029,                  1.363,                0.00868,                0.00868,                0.00868
                     22,                0.76851,                0.75128,                 1.1188,                0.92774,                0.83904,                0.89074,                0.70214,                0.94683,                 8.0651,                 1.2157,               0.008614,               0.008614,               0.008614
                     23,                0.77515,                 0.7469,                  1.122,                0.88706,                0.83372,                0.89038,                0.67905,                0.92579,                 6.5328,                 1.2316,               0.008548,               0.008548,               0.008548
                     24,                0.76402,                0.72628,                  1.111,                0.95972,                0.83757,                0.91012,                0.73055,                 0.9336,                  7.597,                  1.265,               0.008482,               0.008482,               0.008482
                     25,                0.76318,                0.71684,                 1.1139,                0.92827,                0.84856,                0.91455,                0.74228,                0.90034,                 7.9148,                 1.2291,               0.008416,               0.008416,               0.008416
                     26,                0.75255,                0.70546,                 1.1061,                0.94218,                0.81814,                0.88766,                0.71025,                 0.8586,                 7.2676,                 1.2322,                0.00835,                0.00835,                0.00835
                     27,                0.74493,                0.69783,                 1.1015,                0.94482,                0.84044,                0.90624,                0.72753,                0.83314,                 7.8374,                 1.1863,               0.008284,               0.008284,               0.008284
                     28,                0.75055,                0.69888,                  1.111,                0.93155,                0.80901,                0.88468,                0.70278,                0.96625,                 7.8153,                 1.4182,               0.008218,               0.008218,               0.008218
                     29,                0.73822,                0.69376,                 1.1031,                 0.9074,                0.84395,                0.89381,                0.72893,                 0.8907,                 8.7869,                 1.2658,               0.008152,               0.008152,               0.008152
                     30,                0.72387,                0.66586,                  1.092,                0.92866,                0.82198,                0.88597,                0.69111,                0.87271,                 7.9022,                 1.2288,               0.008086,               0.008086,               0.008086
                     31,                0.72453,                0.66857,                 1.0898,                0.91422,                 0.8374,                 0.8961,                0.72277,                0.96708,                 8.0559,                 1.4929,                0.00802,                0.00802,                0.00802
                     32,                0.72532,                0.66061,                 1.0846,                0.89205,                0.81782,                0.88868,                0.73137,                 1.0432,                 9.3787,                 1.6801,               0.007954,               0.007954,               0.007954
                     33,                0.72055,                 0.6583,                 1.0876,                0.92082,                0.82164,                0.89699,                0.75519,                0.95328,                 8.3285,                 1.3022,               0.007888,               0.007888,               0.007888
                     34,                0.71313,                0.63815,                 1.0831,                 0.9442,                0.84453,                 0.8884,                0.73167,                0.94071,                  8.612,                 1.5349,               0.007822,               0.007822,               0.007822
                     35,                0.70491,                0.63294,                 1.0745,                0.92254,                0.81579,                0.86593,                0.68173,                 0.8597,                 7.7081,                   1.15,               0.007756,               0.007756,               0.007756
                     36,                0.69856,                0.61216,                 1.0757,                0.93271,                0.83772,                0.89962,                0.75417,                0.95684,                 8.3625,                 1.3846,                0.00769,                0.00769,                0.00769
                     37,                0.68958,                0.61347,                  1.071,                 0.9408,                0.85973,                 0.9016,                 0.7584,                 1.1759,                 9.3993,                 1.7456,               0.007624,               0.007624,               0.007624
                     38,                0.68642,                0.60867,                 1.0701,                0.95157,                0.84458,                0.90905,                 0.7538,                 1.7306,                  12.44,                 1.8114,               0.007558,               0.007558,               0.007558
                     39,                0.68801,                0.60077,                 1.0707,                0.95755,                0.83391,                0.89819,                0.74216,                 1.2887,                 9.1385,                 1.5184,               0.007492,               0.007492,               0.007492
                     40,                0.68244,                0.59794,                 1.0646,                0.90236,                0.85642,                0.90876,                0.74288,                 1.1393,                 9.8014,                 1.5193,               0.007426,               0.007426,               0.007426
                     41,                0.68568,                0.59997,                 1.0675,                0.91261,                0.82864,                 0.9007,                0.75316,                 1.3185,                 9.2005,                 1.6476,                0.00736,                0.00736,                0.00736
                     42,                0.68455,                0.59304,                 1.0752,                0.93577,                0.85251,                0.90374,                0.76527,                 1.0493,                 11.013,                 1.7605,               0.007294,               0.007294,               0.007294
                     43,                0.67306,                0.58749,                 1.0628,                0.92566,                0.85887,                0.90493,                0.73581,                 1.1169,                 9.0384,                 1.5714,               0.007228,               0.007228,               0.007228
                     44,                0.66963,                0.56181,                 1.0607,                0.93375,                0.84148,                0.90769,                0.77202,                 1.0145,                 9.2149,                 1.8476,               0.007162,               0.007162,               0.007162
                     45,                0.66808,                0.56646,                 1.0569,                0.94148,                0.84221,                0.90679,                0.75792,                 1.3121,                 10.408,                 2.8159,               0.007096,               0.007096,               0.007096
                     46,                0.66108,                0.56685,                 1.0548,                0.92819,                0.82641,                0.90436,                0.74682,                 1.4042,                 10.411,                 3.4816,                0.00703,                0.00703,                0.00703
                     47,                0.66567,                0.54984,                 1.0582,                 0.9518,                0.83241,                 0.9006,                0.73933,                 1.2314,                 8.9766,                 2.2888,               0.006964,               0.006964,               0.006964
                     48,                0.66073,                 0.5555,                 1.0506,                0.93044,                0.83746,                0.90025,                0.77359,                0.96875,                 9.4625,                 1.8074,               0.006898,               0.006898,               0.006898
                     49,                0.65345,                0.54276,                 1.0498,                0.93745,                0.84795,                0.89875,                0.76366,                0.84448,                 8.5155,                 1.1581,               0.006832,               0.006832,               0.006832
                     50,                 0.6449,                0.53281,                 1.0404,                0.92663,                0.85201,                0.90059,                0.75078,                 1.0088,                 9.9814,                 1.2208,               0.006766,               0.006766,               0.006766
                     51,                0.64563,                  0.531,                 1.0415,                0.91994,                0.82702,                0.89754,                0.76396,                 1.2753,                 10.369,                 1.5975,                 0.0067,                 0.0067,                 0.0067
                     52,                0.64358,                0.52873,                 1.0395,                0.92287,                0.81356,                0.89101,                0.73737,                 1.4893,                 11.009,                  1.924,               0.006634,               0.006634,               0.006634
